Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Answered_Count,Resolved_Count,month
ID0001,Diane,2021-01-01,09:12:58,Contract related,Y,Y,109.0,00:02:23,3.0,1,1,January
ID0002,Becky,2021-01-01,09:12:58,Technical Support,Y,N,70.0,00:04:02,3.0,1,0,January
ID0003,Stewart,2021-01-01,09:47:31,Contract related,Y,Y,10.0,00:02:11,3.0,1,1,January
ID0004,Greg,2021-01-01,09:47:31,Contract related,Y,Y,53.0,00:00:37,2.0,1,1,January
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,00:01:00,3.0,1,1,January
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,N,N,,,,0,0,January
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,00:03:40,2.0,1,1,January
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,00:00:38,4.0,1,1,January
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,00:06:38,4.0,1,1,January
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,00:01:04,3.0,1,1,January
ID0011,Joe,2021-01-01,11:15:22,Payment related,N,N,,,,0,0,January
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,00:00:32,4.0,1,1,January
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,00:03:34,3.0,1,1,January
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,00:05:44,3.0,1,1,January
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,00:03:47,4.0,1,1,January
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,00:05:26,2.0,1,1,January
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,00:05:32,5.0,1,1,January
ID0018,Becky,2021-01-01,11:57:07,Admin Support,N,N,,,,0,0,January
ID0019,Jim,2021-01-01,12:01:26,Streaming,N,N,,,,0,0,January
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,00:02:27,3.0,1,1,January
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,00:05:22,5.0,1,1,January
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,00:05:50,5.0,1,1,January
ID0023,Martha,2021-01-01,12:02:53,Technical Support,N,N,,,,0,0,January
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,00:05:25,2.0,1,1,January
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,00:04:09,3.0,1,1,January
ID0026,Dan,2021-01-01,12:30:14,Payment related,N,N,,,,0,0,January
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,00:04:00,3.0,1,1,January
