,Unnamed: 0.1,Unnamed: 0,Nom_Produit,Catégorie,Sous-Catégorie,Coût unitaire,Prix unitaire,Client,Ville,N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité,annee,trimestre,mois,chiffre d'affaire,cout total,marge,latitude,longitude,delai
0,0,0,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003868,2017-01-21,2017-01-25,1,Grossiste,1,8,2017,Trim1,janvier,18437.135464231364,11533.842167427722,6903.293296803642,42.5476734,3.0253613,4
1,1,1,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003372,2017-03-29,2017-04-16,1,Export,1,11,2017,Trim1,mars,25351.061263318126,15859.032980213116,9492.02828310501,42.5476734,3.0253613,18
2,2,2,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003899,2017-03-30,2017-04-10,1,Grossiste,1,6,2017,Trim1,mars,13827.851598173522,8650.381625570792,5177.46997260273,42.5476734,3.0253613,11
3,3,3,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0004915,2017-05-23,2017-05-29,1,Détaillant,1,10,2017,Trim2,mai,23046.419330289205,14417.302709284651,8629.116621004554,42.5476734,3.0253613,6
4,4,4,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0007807,2017-09-15,2017-10-02,1,Détaillant,1,8,2017,Trim3,septembre,18437.135464231364,11533.842167427722,6903.293296803642,42.5476734,3.0253613,17
5,5,5,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003742,2017-10-04,2017-10-15,1,Grossiste,1,6,2017,Trim4,octobre,13827.851598173522,8650.381625570792,5177.46997260273,42.5476734,3.0253613,11
6,6,6,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0005251,2017-11-17,2017-11-21,1,Export,1,5,2017,Trim4,novembre,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,4
7,7,7,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0005763,2018-04-17,2018-04-28,1,Détaillant,1,6,2018,Trim2,avril,13827.851598173522,8650.381625570792,5177.46997260273,42.5476734,3.0253613,11
8,8,8,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0007286,2018-05-04,2018-05-12,1,Grossiste,1,8,2018,Trim2,mai,18437.135464231364,11533.842167427722,6903.293296803642,42.5476734,3.0253613,8
9,9,9,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0007591,2018-05-14,2018-05-29,1,Grossiste,1,5,2018,Trim2,mai,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,15
10,10,10,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0006177,2018-05-18,2018-05-30,1,Grossiste,1,5,2018,Trim2,mai,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,12
11,11,11,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003128,2018-06-27,2018-07-10,1,Détaillant,1,10,2018,Trim2,juin,23046.419330289205,14417.302709284651,8629.116621004554,42.5476734,3.0253613,13
12,12,12,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0002359,2018-07-29,2018-08-14,1,Export,1,5,2018,Trim3,juillet,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,16
13,13,13,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003369,2018-08-10,2018-08-19,1,Détaillant,1,12,2018,Trim3,août,27655.703196347044,17300.763251141583,10354.93994520546,42.5476734,3.0253613,9
14,14,14,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003923,2018-08-12,2018-08-28,1,Export,1,5,2018,Trim3,août,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,16
15,15,15,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0003550,2018-08-18,2018-08-28,1,Grossiste,1,7,2018,Trim3,août,16132.493531202445,10092.111896499257,6040.381634703188,42.5476734,3.0253613,10
16,16,16,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0006258,2019-05-10,2019-05-24,1,Détaillant,1,11,2019,Trim2,mai,25351.061263318126,15859.032980213116,9492.02828310501,42.5476734,3.0253613,14
17,17,17,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,Avon SA,ARGELES SUR MER,CDE - 0002172,2019-06-06,2019-06-11,1,Export,1,5,2019,Trim2,juin,11523.209665144605,7208.651354642326,4314.558310502279,42.5476734,3.0253613,5
18,18,18,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0001163,2017-05-27,2017-06-05,2,Détaillant,1,8,2017,Trim2,mai,18437.135464231364,11533.842167427722,6903.293296803642,47.2186371,-1.5541362,9
19,19,19,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0005157,2017-05-29,2017-06-14,2,Grossiste,1,9,2017,Trim2,mai,20741.777397260284,12975.572438356186,7766.204958904098,47.2186371,-1.5541362,16
